n	time (sec)	rate (MB/sec)
1	0.0002228690	0.0042790802
2	0.0002340460	0.0081494605
4	0.0002520950	0.0151319830
8	0.0002335230	0.0326708484
16	0.0002449100	0.0623036587
32	0.0002516280	0.1212805337
64	0.0003040440	0.2007444852
128	0.0003805600	0.3207649582
256	0.0003273890	0.7457203052
512	0.0004691440	1.0407918464
1024	0.0004999670	1.9532539148
2048	0.0006410350	3.0468305163
4096	0.0018258940	2.1393629641
8192	0.0022205350	3.5182962664
16384	0.0043135210	3.6223308059
32768	0.0041592310	7.5134081276
65536	0.0121210280	5.1563283246
131072	0.0393152860	3.1794249188
262144	0.0562397950	4.4452509117
524288	0.0938942140	5.3251417601
1048576	0.1730334770	5.7792284900
